group,function,value,sample_time_nanos,iteration_count
Vec benches,std vec,,988900.0,51136
Vec benches,std vec,,1979200.0,102272
Vec benches,std vec,,2957900.0,153408
Vec benches,std vec,,3937900.0,204544
Vec benches,std vec,,4926200.0,255680
Vec benches,std vec,,5923400.0,306816
Vec benches,std vec,,6914800.0,357952
Vec benches,std vec,,7880400.0,409088
Vec benches,std vec,,8880000.0,460224
Vec benches,std vec,,9876300.0,511360
Vec benches,std vec,,10943600.0,562496
Vec benches,std vec,,11946500.0,613632
Vec benches,std vec,,12836900.0,664768
Vec benches,std vec,,13829800.0,715904
Vec benches,std vec,,14810500.0,767040
Vec benches,std vec,,15781900.0,818176
Vec benches,std vec,,16756700.0,869312
Vec benches,std vec,,17786100.0,920448
Vec benches,std vec,,18766200.0,971584
Vec benches,std vec,,19791500.0,1022720
Vec benches,std vec,,20743500.0,1073856
Vec benches,std vec,,21786800.0,1124992
Vec benches,std vec,,22682200.0,1176128
Vec benches,std vec,,23690700.0,1227264
Vec benches,std vec,,24682800.0,1278400
Vec benches,std vec,,25662800.0,1329536
Vec benches,std vec,,26653500.0,1380672
Vec benches,std vec,,27641200.0,1431808
Vec benches,std vec,,28635300.0,1482944
Vec benches,std vec,,29642200.0,1534080
Vec benches,std vec,,30616100.0,1585216
Vec benches,std vec,,31578100.0,1636352
Vec benches,std vec,,32559800.0,1687488
Vec benches,std vec,,33551000.0,1738624
Vec benches,std vec,,34553900.0,1789760
Vec benches,std vec,,35510900.0,1840896
Vec benches,std vec,,36515700.0,1892032
Vec benches,std vec,,37525900.0,1943168
Vec benches,std vec,,38511900.0,1994304
Vec benches,std vec,,39496100.0,2045440
Vec benches,std vec,,40526600.0,2096576
Vec benches,std vec,,41538400.0,2147712
Vec benches,std vec,,42430100.0,2198848
Vec benches,std vec,,43403500.0,2249984
Vec benches,std vec,,44409400.0,2301120
Vec benches,std vec,,45519800.0,2352256
Vec benches,std vec,,46371800.0,2403392
Vec benches,std vec,,47361700.0,2454528
Vec benches,std vec,,48364900.0,2505664
Vec benches,std vec,,49509800.0,2556800
Vec benches,std vec,,50327300.0,2607936
Vec benches,std vec,,51315200.0,2659072
Vec benches,std vec,,52304000.0,2710208
Vec benches,std vec,,53308200.0,2761344
Vec benches,std vec,,54328900.0,2812480
Vec benches,std vec,,55279700.0,2863616
Vec benches,std vec,,56227600.0,2914752
Vec benches,std vec,,57225800.0,2965888
Vec benches,std vec,,58237900.0,3017024
Vec benches,std vec,,59203500.0,3068160
Vec benches,std vec,,60176400.0,3119296
Vec benches,std vec,,61184700.0,3170432
Vec benches,std vec,,62204700.0,3221568
Vec benches,std vec,,63163700.0,3272704
Vec benches,std vec,,64249800.0,3323840
Vec benches,std vec,,65133000.0,3374976
Vec benches,std vec,,66215700.0,3426112
Vec benches,std vec,,67169100.0,3477248
Vec benches,std vec,,68131500.0,3528384
Vec benches,std vec,,69091900.0,3579520
Vec benches,std vec,,70067900.0,3630656
Vec benches,std vec,,71106200.0,3681792
Vec benches,std vec,,72039500.0,3732928
Vec benches,std vec,,73016900.0,3784064
Vec benches,std vec,,74013300.0,3835200
Vec benches,std vec,,74985000.0,3886336
Vec benches,std vec,,75997000.0,3937472
Vec benches,std vec,,76995200.0,3988608
Vec benches,std vec,,78018700.0,4039744
Vec benches,std vec,,78985700.0,4090880
Vec benches,std vec,,79986100.0,4142016
Vec benches,std vec,,80957500.0,4193152
Vec benches,std vec,,81938600.0,4244288
Vec benches,std vec,,82942200.0,4295424
Vec benches,std vec,,83903400.0,4346560
Vec benches,std vec,,84870900.0,4397696
Vec benches,std vec,,85918500.0,4448832
Vec benches,std vec,,87772700.0,4499968
Vec benches,std vec,,87844300.0,4551104
Vec benches,std vec,,89096300.0,4602240
Vec benches,std vec,,90334100.0,4653376
Vec benches,std vec,,90964500.0,4704512
Vec benches,std vec,,92058000.0,4755648
Vec benches,std vec,,92971400.0,4806784
Vec benches,std vec,,94718200.0,4857920
Vec benches,std vec,,94915700.0,4909056
Vec benches,std vec,,95949400.0,4960192
Vec benches,std vec,,96923700.0,5011328
Vec benches,std vec,,97832200.0,5062464
Vec benches,std vec,,98851400.0,5113600
